AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
47-020,99.00%,2,153,0,0,104,0
47-021,99.00%,0,150,0,0,159,1
47-022,99.00%,0,98,0,0,71,0
47-023,99.00%,2,121,1,0,107,0
47-024,99.00%,1,71,1,0,70,0
47-025,99.00%,1,112,0,0,82,0
47-026,99.00%,0,68,0,0,34,0
47-027,99.00%,0,46,0,1,74,0
47-028,99.00%,1,124,0,2,116,0
47-029,99.00%,1,211,1,1,75,0
47-030,99.00%,0,99,0,2,85,0
47-031,99.00%,1,80,0,3,69,0
47-032,80.00%,1,32,0,0,29,0
47-033,83.33%,0,42,0,1,21,0
47-034,99.00%,0,87,0,0,56,0
47-035,99.00%,0,4,0,0,0,0
47-036,99.00%,0,72,0,2,47,0
47-037,75.00%,1,70,0,0,70,0
47-038,75.00%,0,41,0,0,41,0
47-039,75.00%,0,49,1,0,43,0
47-040,75.00%,0,75,0,1,54,0
47-041,75.00%,1,122,1,0,97,0
47-042,75.00%,1,58,0,0,32,0
47-043,66.67%,2,133,0,2,163,0
47-044,75.00%,0,81,0,2,105,0
47-045,99.00%,0,106,0,1,108,0
47-046,99.00%,1,87,0,0,59,0
47-047,83.33%,0,59,0,1,76,0
47-048,80.00%,1,190,2,0,107,2
47-049,83.33%,0,85,1,0,65,0
47-050,99.00%,0,92,0,1,91,0
47-051,83.33%,0,68,0,0,125,0
47-052,99.00%,1,64,0,0,67,0
47-053,57.14%,0,14,0,0,85,0
47-054,57.14%,0,16,0,0,123,0
47-055,66.67%,1,148,0,0,170,0
47-056,66.67%,1,142,1,1,118,0
47-057,99.00%,0,125,0,1,72,0
47-058,99.00%,0,164,0,0,55,0
47-059,99.00%,2,212,2,0,111,1
47-060,75.00%,0,37,0,1,25,0
47-061,75.00%,1,100,1,0,64,0
47-062,75.00%,0,147,0,2,104,0
47-063,90.00%,1,179,1,3,114,0
47-064,90.00%,1,195,0,5,141,0
47-065,90.00%,3,176,0,1,139,1
47-066,80.00%,0,76,0,0,53,0
47-067,66.67%,0,93,0,0,89,0
47-068,99.00%,0,56,0,0,43,0
47-069,99.00%,1,84,1,0,69,0
47-070,83.33%,1,61,0,0,78,0
47-071,88.89%,0,64,1,1,71,0
47-072,99.00%,1,42,0,0,43,0
47-073,99.00%,0,0,0,0,0,0
47-074,75.00%,0,0,0,0,0,0
48-001,99.00%,0,42,0,0,33,0
48-002,99.00%,0,109,0,0,17,0
48-003,99.00%,2,439,0,1,66,0
48-004,99.00%,0,81,0,0,22,0
48-005,99.00%,0,105,0,0,21,0
48-006,99.00%,0,112,0,0,7,0
48-007,99.00%,0,150,0,0,19,0
48-008,99.00%,0,15,0,0,9,0
48-009,99.00%,0,532,4,1,82,0
48-010,66.67%,0,155,0,0,6,0
48-011,99.00%,0,86,0,0,5,0
48-012,99.00%,0,83,0,0,10,0
48-013,66.67%,0,99,0,0,20,0
48-014,99.00%,0,524,3,0,59,1
48-015,99.00%,0,85,0,0,14,0
48-016,99.00%,0,191,0,0,15,0
48-017,66.67%,0,110,0,0,12,0
48-018,66.67%,0,138,0,0,4,0
48-019,99.00%,0,133,0,0,5,0
48-020,77.78%,0,56,1,0,6,0
48-021,99.00%,0,178,0,0,10,0
48-022,99.00%,0,165,0,0,18,0
48-023,99.00%,2,239,0,0,27,0
48-024,99.00%,0,265,0,0,8,0
48-025,77.78%,0,133,1,0,6,0
48-026,75.00%,0,179,1,0,17,0
48-027,75.00%,0,175,0,0,3,0
48-028,99.00%,3,389,1,0,40,0
48-029,99.00%,0,453,0,0,21,0
48-030,75.00%,0,186,0,0,11,0
48-031,75.00%,0,52,0,0,14,0
48-032,99.00%,0,212,1,0,24,0
48-033,99.00%,0,186,0,0,45,0
48-034,99.00%,1,138,0,0,66,0
48-035,99.00%,1,25,0,0,21,0
48-036,99.00%,0,85,0,0,86,1
48-037,99.00%,0,76,0,0,56,0
48-038,99.00%,0,85,0,0,34,0
48-039,99.00%,0,119,0,0,5,0
48-040,99.00%,2,200,1,1,39,0
48-041,99.00%,0,104,1,0,27,0
48-042,85.71%,1,72,2,0,33,0
48-043,99.00%,0,100,1,0,75,0
48-044,99.00%,0,78,1,1,95,0
48-045,99.00%,0,113,0,0,31,0
48-046,85.71%,0,72,0,1,22,0
48-047,85.71%,0,151,1,1,60,0
48-048,99.00%,0,127,0,0,14,0
48-049,99.00%,1,47,0,0,45,0
48-050,99.00%,0,148,0,0,9,0
48-051,99.00%,1,192,0,0,25,0
48-052,99.00%,2,167,1,0,37,0
48-053,99.00%,0,8,0,0,1,0
48-054,99.00%,1,244,1,0,113,0
48-055,99.00%,1,308,2,1,97,0
48-056,90.00%,1,73,0,0,76,0
48-057,90.00%,0,38,0,0,45,0
48-058,99.00%,0,56,1,0,34,0
48-059,99.00%,0,103,0,0,18,0
48-060,99.00%,0,122,2,0,39,0
48-061,99.00%,0,93,0,0,48,0
48-062,77.78%,0,48,1,0,67,0
48-063,90.00%,1,35,0,0,94,0
48-064,90.00%,0,37,1,0,11,0
48-065,99.00%,0,72,0,0,49,0
48-066,99.00%,1,127,1,0,21,0
48-067,99.00%,0,38,1,0,13,0
48-068,99.00%,0,13,0,0,12,0
48-069,99.00%,0,5,0,1,15,0
48-070,99.00%,0,113,0,0,53,0
48-071,77.78%,0,102,0,0,4,0
48-072,66.67%,0,87,0,0,16,0
49-001,99.00%,0,27,0,0,87,0
49-002,99.00%,0,28,0,0,45,0
49-003,90.00%,0,45,1,0,67,0
49-004,90.00%,1,72,1,1,139,0
49-005,90.00%,1,49,0,0,109,0
49-006,99.00%,0,20,0,1,17,0
49-007,99.00%,0,24,0,0,42,0
49-008,99.00%,0,17,0,0,51,0
49-009,99.00%,0,13,0,0,30,0
49-010,99.00%,0,13,0,0,36,0
49-011,99.00%,0,17,1,0,23,0
49-012,99.00%,0,8,0,0,24,0
49-013,99.00%,0,7,0,1,31,0
49-014,90.00%,0,1,0,0,2,0
49-015,99.00%,0,0,0,0,3,0
49-016,99.00%,1,67,0,1,76,0
49-017,99.00%,0,96,1,0,105,0
49-018,99.00%,0,21,0,0,20,0
49-019,99.00%,2,87,2,0,156,0
49-020,99.00%,1,19,0,0,48,0
49-021,99.00%,1,66,2,1,114,0
49-022,99.00%,1,115,0,0,125,0
49-023,99.00%,2,182,4,1,194,0
49-024,87.50%,1,100,1,1,99,0
49-025,87.50%,1,124,1,3,142,0
49-026,99.00%,0,124,0,2,85,1
49-027,99.00%,0,42,0,0,46,0
49-028,99.00%,0,99,0,0,91,0
49-029,85.71%,0,10,0,0,11,0
49-030,99.00%,0,27,0,1,43,1
49-031,99.00%,1,27,0,0,19,0
49-032,99.00%,0,13,0,0,29,0
49-033,99.00%,0,21,0,0,4,0
49-034,99.00%,0,25,0,0,45,0
49-035,87.50%,0,109,0,1,100,1
49-036,99.00%,1,48,0,0,39,0
49-037,99.00%,0,94,0,0,95,0
49-038,99.00%,2,194,0,3,159,0
49-039,99.00%,0,186,0,0,224,0
49-040,99.00%,2,198,1,0,207,0
49-041,87.50%,1,171,1,0,139,0
49-042,99.00%,0,32,0,0,46,0
49-043,99.00%,2,154,0,3,86,0
49-044,99.00%,0,51,0,0,37,0
49-045,87.50%,0,52,0,0,24,0
49-046,99.00%,0,43,0,0,31,0
49-047,99.00%,1,61,1,0,85,0
49-048,99.00%,0,94,1,0,87,0
49-049,87.50%,2,77,0,2,85,0
49-050,87.50%,0,87,0,1,87,0
49-051,99.00%,0,117,0,0,82,0
49-052,87.50%,1,96,2,0,75,0
49-053,99.00%,0,159,0,2,106,0
49-054,85.71%,2,98,0,0,72,1
49-055,99.00%,1,43,0,0,86,0
49-056,99.00%,1,9,0,1,13,0
49-057,99.00%,0,97,1,0,27,0
49-058,99.00%,4,136,1,2,89,1
49-059,99.00%,0,91,0,0,94,0
49-060,99.00%,0,1,0,0,4,0
49-061,99.00%,0,22,0,0,44,0
49-062,90.00%,2,49,2,2,108,0
49-063,85.71%,1,91,0,0,38,0
49-064,99.00%,0,79,2,0,84,0
49-065,87.50%,1,115,1,3,91,0
49-066,99.00%,0,29,1,1,69,0
49-067,90.00%,0,35,0,1,90,0
49-068,99.00%,1,17,0,0,23,0
49-069,99.00%,0,32,0,0,29,0
49-070,99.00%,0,200,0,6,236,0
49-071,99.00%,0,0,0,0,1,0
50-001,99.00%,0,97,1,0,34,0
50-002,80.00%,2,25,0,0,217,1
50-003,99.00%,1,17,0,1,249,0
50-004,99.00%,1,5,2,1,126,0
50-005,99.00%,0,11,0,0,176,0
50-006,99.00%,0,7,0,2,158,0
50-007,99.00%,0,4,0,0,157,0
50-008,99.00%,0,11,1,0,170,0
50-009,99.00%,0,3,0,0,158,0
50-010,99.00%,2,21,0,1,203,0
50-011,75.00%,0,55,1,1,69,0
50-012,99.00%,1,40,2,1,225,0
50-013,85.71%,0,0,0,0,0,0
50-014,99.00%,1,6,0,0,111,0
50-015,99.00%,1,17,0,0,186,0
50-016,99.00%,0,9,0,0,81,0
50-017,99.00%,0,9,1,0,143,0
50-018,99.00%,3,20,1,1,219,0
50-019,99.00%,0,33,0,2,274,0
50-020,99.00%,1,62,2,1,402,1
50-021,99.00%,2,99,2,2,510,1
50-022,50.00%,2,34,1,0,224,0
50-023,99.00%,0,1,0,0,37,0
50-024,99.00%,0,0,0,0,1,0
50-025,99.00%,0,3,0,0,65,0
50-026,99.00%,0,19,0,0,269,0
50-027,99.00%,0,20,0,1,222,1
50-028,99.00%,2,22,1,1,182,0
50-029,99.00%,1,10,1,0,183,0
50-030,99.00%,0,42,0,2,205,0
50-031,99.00%,1,34,0,0,154,0
50-032,99.00%,1,25,0,0,212,0
50-033,99.00%,0,38,1,2,321,0
50-034,99.00%,0,32,1,0,208,0
50-035,99.00%,0,26,0,2,237,0
50-036,87.50%,0,17,0,0,203,0
50-037,80.00%,1,26,1,1,279,0
50-038,87.50%,0,19,0,2,238,0
50-039,87.50%,0,15,0,1,240,0
50-040,99.00%,1,12,2,1,242,0
50-041,99.00%,1,18,1,1,198,0
50-042,99.00%,1,33,1,2,264,0
50-043,99.00%,2,9,0,0,194,0
50-044,88.89%,3,30,3,6,275,0
50-045,88.89%,0,13,1,2,57,0
50-046,88.89%,2,41,2,1,412,0
50-047,80.00%,0,11,0,2,283,0
50-048,99.00%,1,264,2,2,449,1
50-049,88.89%,0,22,2,0,150,0
50-050,80.00%,1,5,0,1,147,0
50-051,80.00%,1,8,0,0,146,0
50-052,99.00%,0,51,0,4,398,0
50-053,99.00%,3,36,2,3,301,0
50-054,99.00%,0,55,1,2,261,0
50-055,99.00%,0,61,0,0,83,0
50-056,99.00%,0,9,0,0,45,0
50-057,75.00%,0,116,1,0,183,1
50-058,75.00%,1,158,0,0,122,0
50-059,99.00%,0,74,0,0,155,0
50-060,99.00%,0,68,1,0,66,0
50-061,99.00%,0,186,1,0,168,0
50-062,75.00%,1,43,1,0,87,0
50-063,99.00%,0,166,0,3,128,0
50-064,99.00%,0,139,2,0,28,0
50-065,99.00%,0,150,0,0,32,0
50-066,99.00%,0,226,0,0,25,0
50-067,75.00%,0,89,1,0,19,0
50-068,99.00%,0,89,1,1,69,0
50-069,75.00%,0,100,0,0,59,0
50-070,99.00%,0,170,2,0,9,0
50-071,99.00%,0,99,0,0,0,0
50-072,75.00%,0,118,0,0,28,0
50-073,72.73%,0,101,0,0,5,0
50-074,72.73%,0,125,2,0,7,0
50-075,72.73%,0,94,0,0,15,0
50-076,72.73%,0,72,0,0,58,0
50-077,72.73%,0,101,0,0,7,0
50-078,72.73%,0,114,0,0,6,0
50-079,72.73%,0,76,1,0,15,0
50-080,72.73%,1,126,0,0,30,0
50-081,83.33%,0,17,0,0,7,0
50-082,99.00%,0,104,0,1,15,0
50-083,99.00%,0,52,2,2,78,0
50-084,99.00%,0,1,1,0,31,0
50-085,83.33%,0,4,0,2,57,0
50-086,99.00%,0,0,1,0,0,0
50-087,99.00%,0,3,0,0,51,0
50-088,99.00%,0,2,0,0,50,0
50-089,99.00%,1,11,2,0,488,0
50-090,87.50%,1,10,0,0,216,0
50-091,99.00%,0,12,2,1,299,0
50-092,99.00%,0,25,1,2,422,0
50-093,99.00%,1,2,0,0,58,0
50-094,99.00%,0,3,0,0,41,0
50-095,99.00%,0,24,0,0,237,0
50-096,99.00%,0,4,0,0,212,0
50-097,88.89%,1,23,0,2,304,0
50-098,80.00%,0,9,0,0,112,0
50-099,99.00%,3,9,1,2,385,0
50-100,72.73%,0,60,0,0,4,0
50-101,80.00%,0,13,0,0,185,0
50-102,99.00%,1,27,1,0,99,0
50-103,85.71%,0,0,0,0,0,0
50-104,85.71%,0,0,0,0,0,0
50-105,99.00%,0,0,0,0,0,0
50-106,99.00%,0,0,0,0,0,0
50-107,85.71%,0,0,0,0,0,0
51-001,99.00%,1,30,2,1,243,0
51-002,99.00%,1,25,1,1,140,1
51-003,99.00%,0,23,0,2,160,0
51-004,99.00%,0,23,0,1,130,0
51-005,99.00%,0,36,0,0,131,0
51-006,99.00%,1,40,0,0,118,0
51-007,99.00%,0,38,1,3,418,0
51-008,83.33%,0,10,1,0,160,0
51-009,99.00%,0,5,0,0,18,0
51-010,99.00%,0,1,0,0,27,0
51-011,99.00%,0,9,2,1,259,0
51-012,99.00%,1,14,3,0,237,0
51-013,99.00%,1,10,1,1,222,0
51-014,99.00%,1,63,1,0,42,0
51-015,99.00%,0,51,1,0,42,0
51-016,99.00%,0,61,0,0,62,0
51-017,99.00%,0,34,0,0,104,0
51-018,99.00%,0,1,0,0,5,0
51-019,99.00%,0,5,0,0,10,0
51-020,99.00%,0,17,0,0,300,0
51-021,99.00%,0,1,0,0,51,0
51-022,99.00%,0,2,0,0,63,0
51-023,99.00%,1,10,0,0,246,0
51-024,83.33%,0,42,0,0,40,0
51-025,99.00%,0,0,0,0,0,0
51-026,99.00%,0,20,0,0,36,0
51-027,99.00%,0,24,0,0,55,1
51-028,99.00%,0,9,0,0,35,0
51-029,90.00%,1,53,2,0,241,0
51-030,99.00%,0,35,0,0,124,0
51-031,99.00%,1,55,0,0,197,0
51-032,90.00%,0,54,2,0,157,1
51-033,90.00%,0,65,0,2,256,0
51-034,99.00%,0,34,0,1,111,0
51-035,99.00%,1,31,0,0,223,0
51-036,99.00%,0,33,1,0,262,0
51-037,99.00%,0,48,0,4,202,0
51-038,99.00%,1,30,3,0,244,0
51-039,99.00%,0,19,1,0,191,0
51-040,99.00%,0,20,0,2,281,0
51-041,99.00%,0,27,0,0,280,0
51-042,99.00%,1,25,0,0,335,0
51-043,99.00%,0,11,0,2,184,0
51-044,99.00%,0,3,0,0,75,0
51-045,99.00%,0,3,0,0,12,0
51-046,99.00%,0,1,0,0,14,0
51-047,87.50%,0,21,0,0,53,0
51-048,99.00%,0,1,0,0,2,0
51-049,71.43%,1,7,0,1,275,0
51-050,99.00%,0,9,0,0,70,0
51-051,99.00%,0,29,0,0,118,0
51-052,99.00%,0,12,1,0,66,0
51-053,99.00%,1,7,0,0,101,0
51-054,71.43%,0,10,0,0,171,0
51-055,99.00%,0,22,1,2,240,0
51-056,99.00%,0,1,0,0,6,0
51-057,99.00%,0,0,0,0,11,0
51-058,99.00%,0,8,0,0,41,0
51-059,99.00%,0,34,3,1,131,0
51-060,87.50%,1,22,0,0,81,0
51-061,99.00%,2,44,0,0,133,0
51-062,99.00%,2,74,1,1,175,0
51-063,99.00%,2,48,2,0,168,0
51-064,99.00%,0,31,0,0,136,0
51-065,99.00%,1,37,0,3,207,0
51-066,99.00%,0,36,1,1,122,0
51-067,99.00%,0,36,0,0,158,0
51-068,71.43%,0,1,0,0,70,0
51-069,83.33%,0,17,1,2,196,0
51-070,99.00%,0,12,1,0,220,0
51-071,99.00%,0,14,0,1,249,0
51-072,99.00%,0,12,0,4,302,0
51-073,71.43%,1,9,1,2,234,0
51-074,71.43%,0,11,0,0,167,0
51-075,90.00%,2,52,2,0,161,0
51-076,99.00%,0,47,0,0,115,0
51-077,99.00%,0,59,0,0,136,0
51-078,99.00%,2,41,2,0,121,0
51-079,99.00%,0,31,0,3,198,0
51-080,99.00%,0,14,0,0,46,0
51-081,99.00%,0,19,0,0,138,0
51-082,99.00%,1,29,0,2,190,0
51-083,99.00%,0,10,2,0,243,0
51-084,99.00%,0,0,0,0,0,0
51-085,99.00%,0,0,0,0,0,0
51-086,99.00%,0,0,0,0,0,0
51-087,83.33%,0,0,0,0,0,0
52-001,99.00%,4,23,1,0,307,0
52-002,99.00%,4,24,2,2,394,0
52-003,99.00%,1,15,0,0,152,0
52-004,55.56%,1,11,0,0,291,0
52-005,55.56%,1,8,0,0,232,0
52-006,55.56%,0,3,0,0,202,0
52-007,55.56%,0,11,1,1,288,0
52-008,99.00%,1,24,0,2,317,0
52-009,99.00%,1,12,0,2,187,0
52-010,99.00%,0,63,2,3,494,1
52-011,99.00%,1,21,1,1,290,0
52-012,55.56%,0,20,2,0,287,0
52-013,99.00%,1,12,1,1,316,0
52-014,99.00%,1,15,0,0,221,0
52-015,99.00%,0,11,0,2,309,0
52-016,99.00%,2,10,3,4,294,0
52-017,77.78%,3,30,5,0,369,1
52-018,99.00%,3,28,2,1,393,0
52-019,99.00%,2,30,1,1,389,0
52-020,99.00%,7,55,3,0,460,0
52-021,99.00%,0,10,0,0,76,0
52-022,55.56%,0,20,1,1,143,0
52-023,99.00%,0,36,0,2,344,0
52-024,85.71%,1,14,1,1,188,0
52-025,99.00%,0,25,4,1,571,0
52-026,99.00%,1,8,0,0,222,0
52-027,77.78%,5,68,7,6,1258,2
52-028,99.00%,2,33,0,0,470,0
52-029,55.56%,1,10,0,2,288,1
52-030,55.56%,1,15,1,2,337,0
52-031,99.00%,3,8,0,2,342,0
52-032,99.00%,0,13,0,2,317,0
52-033,99.00%,2,8,1,0,282,1
52-034,55.56%,0,14,0,0,357,0
52-035,99.00%,0,25,2,0,397,0
52-036,99.00%,0,21,0,1,389,0
52-037,99.00%,5,31,0,1,446,0
52-038,99.00%,4,36,1,5,447,1
52-039,99.00%,3,59,2,1,513,1
52-040,99.00%,7,40,3,0,526,0
52-041,99.00%,0,12,1,3,185,0
52-042,99.00%,0,27,0,1,395,0
52-043,99.00%,1,10,0,0,224,0
52-044,99.00%,0,51,0,1,321,0
52-045,99.00%,0,54,0,0,377,1
52-046,99.00%,0,8,0,1,246,0
52-047,57.14%,0,25,0,0,327,0
52-048,55.56%,0,12,0,0,279,0
52-049,99.00%,0,17,0,1,312,0
52-050,99.00%,0,13,0,2,214,0
52-051,99.00%,2,19,1,0,244,0
52-052,99.00%,0,22,1,0,201,0
52-053,99.00%,0,13,1,0,255,0
52-054,99.00%,0,15,0,1,115,0
52-055,99.00%,0,11,0,1,276,0
52-056,99.00%,1,10,0,2,261,0
52-057,99.00%,0,20,1,0,322,0
52-058,99.00%,1,11,1,1,285,0
52-059,99.00%,0,15,0,2,406,0
52-060,99.00%,1,7,0,1,282,1
52-061,99.00%,2,9,4,4,350,0
52-062,99.00%,0,7,0,3,263,0
52-063,99.00%,0,0,0,0,2,0
52-064,99.00%,2,12,0,0,286,1
52-065,99.00%,0,8,0,1,247,1
52-066,99.00%,0,12,0,4,379,0
52-067,99.00%,2,11,0,3,230,0
52-068,99.00%,3,12,0,2,308,0
52-069,99.00%,3,28,2,3,395,0
52-070,99.00%,1,14,1,2,422,0
52-071,99.00%,2,11,1,2,410,0
52-072,99.00%,0,5,1,0,172,0
52-073,99.00%,0,9,0,2,353,0
52-074,99.00%,2,13,3,1,335,0
52-075,99.00%,2,10,1,1,473,0
52-076,99.00%,0,6,1,1,150,1
52-077,99.00%,0,0,0,1,18,0
52-078,99.00%,0,11,1,2,271,0
52-079,99.00%,0,5,0,1,117,0
52-080,99.00%,0,10,0,1,129,0
52-081,99.00%,0,18,2,7,400,1
52-082,99.00%,1,21,1,2,393,0
52-083,99.00%,0,11,1,0,359,0
52-084,99.00%,0,7,0,1,362,0
52-085,63.64%,0,9,1,1,326,0
52-086,63.64%,1,6,0,0,312,0
52-087,63.64%,1,7,0,3,349,0
52-088,63.64%,1,8,1,0,205,0
52-089,63.64%,1,15,0,3,394,0
52-090,99.00%,1,22,1,1,414,0
52-091,99.00%,1,26,0,1,253,0
52-092,99.00%,1,10,2,0,387,0
52-093,63.64%,0,16,2,1,282,0
52-094,99.00%,0,7,0,1,215,0
52-095,99.00%,0,2,0,0,62,0
52-096,57.14%,0,23,0,3,347,0
52-097,57.14%,1,25,1,0,501,0
52-098,57.14%,0,34,2,0,344,0
52-099,99.00%,1,20,0,1,466,0
52-100,99.00%,1,36,2,0,329,0
52-101,99.00%,2,11,2,0,258,1
52-102,99.00%,4,17,1,0,378,0
52-103,99.00%,3,30,2,3,438,0
52-104,99.00%,0,6,1,0,111,0
52-105,99.00%,3,12,0,0,279,0
52-106,71.43%,0,0,0,0,20,0
52-107,55.56%,1,14,0,4,240,0
52-108,55.56%,0,12,0,4,301,0
52-109,99.00%,0,3,0,0,187,0
52-110,99.00%,3,29,1,2,398,0
52-111,99.00%,0,30,0,0,309,0
52-112,99.00%,3,16,4,1,449,0
52-113,99.00%,0,8,0,3,379,0
52-114,63.64%,1,4,0,2,267,0
52-115,99.00%,2,25,1,0,230,0
52-116,63.64%,0,15,3,1,321,0
52-117,77.78%,1,32,2,4,349,0
52-118,71.43%,0,0,0,0,0,0
52-119,99.00%,0,0,0,0,0,0
52-120,55.56%,0,0,0,0,0,0
52-121,99.00%,0,0,0,0,0,0
52-122,99.00%,0,0,0,0,0,0
52-123,99.00%,0,0,0,0,0,0
52-124,71.43%,0,0,0,0,3,0
52-125,71.43%,0,0,0,0,0,0
52-126,99.00%,0,0,0,0,0,0
53-001,99.00%,3,33,1,1,236,0
53-002,99.00%,0,31,1,1,181,0
53-003,99.00%,1,69,0,0,323,2
53-004,88.89%,0,26,1,4,279,0
53-005,99.00%,3,56,0,0,344,0
53-006,88.89%,0,2,1,0,71,0
53-007,99.00%,0,8,1,1,137,0
53-008,99.00%,0,8,1,1,212,0
53-009,99.00%,0,11,0,4,151,0
53-010,99.00%,0,9,0,0,80,0
53-011,99.00%,0,7,0,0,109,0
53-012,99.00%,0,5,1,0,121,0
53-013,99.00%,0,28,1,0,250,0
53-014,99.00%,0,8,0,0,1,0
53-015,99.00%,0,41,0,1,95,0
53-016,99.00%,2,36,0,4,404,0
53-017,99.00%,0,44,1,3,379,0
53-018,99.00%,2,22,1,2,338,0
53-019,50.00%,2,26,2,1,286,0
53-020,50.00%,2,36,2,1,298,0
53-021,99.00%,1,24,1,0,221,0
53-022,99.00%,2,39,1,7,396,0
53-023,99.00%,1,22,0,1,327,0
53-024,99.00%,0,28,0,0,124,0
53-025,99.00%,0,41,0,1,290,0
53-026,99.00%,0,24,0,0,141,0
53-027,99.00%,0,19,0,0,161,0
53-028,99.00%,0,3,1,0,137,0
53-029,99.00%,0,24,0,1,175,0
53-030,99.00%,2,44,5,3,407,0
53-031,99.00%,0,28,0,0,210,0
53-032,99.00%,0,16,0,0,287,0
53-033,50.00%,1,35,0,3,325,0
53-034,99.00%,2,48,2,3,403,1
53-035,99.00%,3,27,2,3,419,0
53-036,99.00%,1,75,2,5,460,0
53-037,99.00%,2,42,4,2,399,0
53-038,99.00%,1,6,2,1,74,0
53-039,99.00%,2,13,0,1,282,0
53-040,99.00%,0,5,0,0,71,0
53-041,50.00%,0,6,0,0,50,0
53-042,50.00%,0,4,0,0,43,0
53-043,99.00%,0,1,0,2,48,0
53-044,99.00%,0,7,0,1,167,0
53-045,99.00%,2,92,3,5,547,1
53-046,99.00%,1,24,0,1,378,0
53-047,60.00%,0,11,1,1,231,0
53-048,99.00%,1,8,2,3,214,0
53-049,99.00%,0,3,0,0,62,0
53-050,50.00%,0,27,2,3,247,0
53-051,50.00%,0,3,0,0,61,0
53-052,99.00%,0,0,0,1,24,0
53-053,99.00%,0,7,2,1,154,0
53-054,99.00%,0,13,1,2,215,0
53-055,99.00%,0,23,2,1,216,0
53-056,99.00%,0,9,0,3,246,0
53-057,99.00%,2,8,1,1,290,0
53-058,99.00%,0,16,1,2,243,0
53-059,99.00%,1,5,0,1,176,0
53-060,99.00%,0,10,3,3,293,0
53-061,99.00%,1,11,0,1,191,0
53-062,99.00%,1,4,0,0,46,0
53-063,99.00%,1,22,2,3,367,1
53-064,50.00%,0,11,1,1,201,0
53-065,99.00%,0,23,2,1,158,0
53-066,60.00%,2,23,0,1,197,0
53-067,50.00%,0,21,4,2,295,0
53-068,60.00%,0,23,1,0,204,0
53-069,80.00%,3,24,1,0,217,0
53-070,99.00%,1,79,3,6,458,0
53-071,80.00%,0,22,0,2,158,0
53-072,99.00%,0,43,1,2,368,0
53-073,42.86%,0,10,0,0,122,1
53-074,50.00%,0,7,0,0,139,0
53-075,50.00%,0,6,0,0,63,0
53-076,42.86%,2,17,3,2,309,0
53-077,99.00%,0,30,0,2,312,1
53-078,72.73%,1,159,0,0,14,0
53-079,99.00%,1,27,0,0,71,0
53-080,99.00%,0,31,1,1,324,0
53-081,60.00%,0,7,0,1,21,0
53-082,99.00%,1,45,4,1,469,0
53-083,99.00%,1,43,0,1,271,0
53-084,99.00%,1,9,0,0,122,0
53-085,99.00%,0,36,0,1,130,1
53-086,99.00%,0,30,1,0,115,0
53-087,99.00%,0,18,0,0,237,0
53-088,99.00%,0,6,1,1,214,0
53-089,99.00%,0,0,0,0,0,0
54-001,99.00%,0,4,0,0,56,0
54-002,99.00%,0,3,0,0,110,0
54-003,71.43%,0,11,0,0,67,0
54-004,71.43%,0,15,0,0,91,0
54-005,99.00%,0,2,0,0,26,0
54-006,71.43%,0,3,0,0,34,0
54-007,99.00%,0,11,0,1,231,0
54-008,99.00%,1,5,0,0,155,0
54-009,99.00%,0,15,3,2,218,0
54-010,99.00%,0,18,1,2,192,0
54-011,99.00%,0,6,0,0,147,0
54-012,99.00%,0,12,2,0,201,0
54-013,99.00%,0,5,1,0,161,0
54-014,99.00%,0,3,0,2,36,0
54-015,57.14%,0,2,0,0,85,0
54-016,99.00%,0,0,0,0,24,0
54-017,99.00%,0,1,0,1,58,0
54-018,57.14%,0,0,0,0,1,0
54-019,57.14%,0,15,1,0,108,0
54-020,50.00%,2,20,0,0,241,0
54-021,99.00%,0,5,0,1,106,0
54-022,99.00%,0,9,0,3,141,0
54-023,50.00%,0,23,1,1,261,0
54-024,99.00%,1,14,1,1,200,0
54-025,99.00%,0,5,1,0,218,0
54-026,57.14%,0,2,0,0,33,0
54-027,99.00%,0,6,0,1,121,0
54-028,99.00%,0,14,0,4,204,0
54-029,99.00%,0,5,1,1,187,0
54-030,99.00%,1,62,1,5,396,0
54-031,99.00%,0,58,0,3,337,0
54-032,99.00%,0,47,0,1,268,0
54-033,99.00%,0,16,2,2,219,0
54-034,99.00%,0,18,0,0,194,2
54-035,99.00%,2,16,1,1,263,0
54-036,99.00%,0,11,1,1,155,0
54-037,99.00%,0,12,0,0,196,0
54-038,99.00%,1,61,2,1,323,1
54-039,42.86%,0,11,1,1,152,0
54-040,99.00%,0,7,0,0,82,0
54-041,99.00%,0,31,1,2,253,0
54-042,99.00%,1,26,1,0,243,0
54-043,99.00%,2,25,1,0,234,0
54-044,83.33%,0,11,0,1,153,0
54-045,83.33%,0,35,0,0,185,0
54-046,99.00%,0,15,0,0,125,0
54-047,99.00%,0,15,2,0,116,0
54-048,99.00%,0,17,0,1,179,0
54-049,99.00%,0,49,0,1,278,0
54-050,99.00%,2,64,1,1,287,0
54-051,71.43%,0,15,0,0,102,0
54-052,99.00%,0,19,0,0,105,0
54-053,99.00%,0,19,0,0,101,0
54-054,99.00%,0,46,0,0,171,0
